dataset_id,contrast,program_id,lineage,score_method,n_control,n_case,unadjusted_standardized_beta,unadjusted_hc3_low,unadjusted_hc3_high,unadjusted_p,adjusted_standardized_beta,adjusted_hc3_low,adjusted_hc3_high,adjusted_p,sign_retained,magnitude_retention_ratio,adjusted_fdr_within_context_method
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,standardized_mean,4,9,0.535202530369336,-0.48025473313301714,1.550659793871689,0.3015902546818222,0.6426564987389353,-0.5953830586981429,1.8806960561760135,0.3089534677358212,True,1.2007725342693107,0.6293362857503401
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,5,9,0.9518915295911334,-0.3146205450319548,2.2184036042142217,0.14072227238597435,-0.3829528474756754,-1.7055105914038535,0.9396048964525028,0.5703560070337781,False,0.40230723309426375,0.8226935024465869
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.567219573490566,-0.8485482119093483,1.98298735889048,0.4322992580353513,-0.8052401829215511,-2.575243847715205,0.9647634818721028,0.37256632706015747,False,1.419626932064861,0.6293362857503401
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,singscore,5,9,1.3512593414980925,0.6454099492051043,2.0571087337910807,0.00017530913329444713,0.20068613352951414,-1.3782234030591698,1.7795956701181983,0.8032645897915144,True,0.14851785099004064,0.8455863004169129
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,1.0222952945050285,-0.03971752248462024,2.0843081114946775,0.0592007896445805,0.10895325058167848,-1.8154000677337372,2.0333065688970944,0.9116389481082338,True,0.10657708312589964,0.9116389481082339
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,5,9,1.1584571295970216,0.19493375027992388,2.1219805089141195,0.018446359789778544,0.4553507027051029,-1.3598567193004305,2.2705581247106363,0.6229509573532703,True,0.3930665115449721,0.8226935024465869
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.9493801853934387,-0.18488646098329875,2.083646831770176,0.1008974516314199,0.5340644091439586,-1.4148704386172395,2.4829992569051567,0.591200902857387,True,0.562540083899722,0.8163012915048565
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,singscore,5,9,-0.23692908523749398,-1.436715927230961,0.9628577567559732,0.6987170267336862,-0.6666053457163876,-3.54152254464431,2.208311853211535,0.6494948703525686,True,2.8135226413768195,0.8226935024465869
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,-0.40269919702375545,-1.4843020657028323,0.6789036716553214,0.46554825049814696,-0.7643730837050535,-3.6329713487904245,2.1042251813803174,0.6014851621614732,True,1.8981241814096856,0.8163012915048565
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,singscore,5,9,0.9450251596345801,-0.22145780437986107,2.1115081236490214,0.11231069569351264,0.18782458515648243,-1.7024474205018112,2.078096590814776,0.8455863004169129,True,0.19875088323480186,0.8455863004169129
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.9278765327348553,-0.14471713290167743,2.0004701983713877,0.08997081302026139,0.7761063836975381,-1.021671068633998,2.5738838360290743,0.3974755488949516,True,0.836432818717826,0.6293362857503401
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,singscore,5,9,1.1344783516653827,0.19493895806908912,2.0740177452616764,0.017949038750506675,0.32801067037010934,-1.6312451075677727,2.2872664483079914,0.7428093911903761,True,0.2891290696632499,0.8328935858922787
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.6348002392346872,-0.6180844434922907,1.8876849219616652,0.32067340126100874,0.14328311664554344,-2.2605834522873143,2.547149685578401,0.9069976784392974,True,0.22571370927377885,0.9116389481082339
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,singscore,6,4,-1.522453924286737,-2.55551456487136,-0.4893932837021142,0.003870673122448242,-1.5863911687623973,-3.3370086014356835,0.16422626391088868,0.07571125251010252,True,1.0419961769980097,0.2877027595383896
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,standardized_mean,6,4,-1.7886354254018224,-2.4834985818323903,-1.0937722689712546,4.5304095586298465e-07,-1.7968809280493883,-2.707818953630187,-0.8859429024685895,0.0001105353317560813,True,1.0046099403659712,0.0010500856516827725
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,singscore,6,4,1.6568942094969352,0.9305206679269382,2.3832677510669322,7.79065695705048e-06,1.7097842301090902,0.050394486229480284,3.3691739739887003,0.04343280555704016,True,1.0319211813940816,0.20630582639594078
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,standardized_mean,6,4,1.5294457051425119,0.6145537415500356,2.4443376687349883,0.0010507381348609087,1.5285841198124253,-0.5870892764931583,3.644257516118009,0.15674349143111765,True,0.9994366682470717,0.5956252674382471
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,singscore,6,4,1.1986135226605457,-0.0634254543309194,2.460652499652011,0.06267394174204047,1.1704871666114103,-0.43917981927618865,2.7801541524990094,0.1540890811630728,True,0.9765342576924181,0.4182417917283404
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,standardized_mean,6,4,0.28590908848616786,-1.0630361551806975,1.6348543321530333,0.6778328510392242,0.19231159300083864,-1.8594546294453675,2.244077815447045,0.8542406769592203,True,0.6726319685012132,0.9547395801308934
