dataset_id,adjustment,score_method,program_left,lineage_left,program_right,lineage_right,n_donors,spearman_rho,permutation_p_two_sided,fdr_within_dataset_method_adjustment
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,18,-0.32301341589267285,0.1912808719128087,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,18,0.4757481940144479,0.04689531046895311,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,18,-0.1496388028895769,0.5597440255974403,0.7810381752522422
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,18,0.5851393188854489,0.0122987701229877,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,18,-0.543859649122807,0.023497650234976502,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,18,0.34365325077399383,0.16198380161983802,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,17,0.5220588235294118,0.033096690330966905,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,17,0.4803921568627451,0.0532946705329467,0.3365979191554529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,17,0.1936274509803922,0.45885411458854114,0.7454444428974825
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,17,0.014705882352941176,0.9595040495950405,0.984106717533375
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,17,0.3602941176470589,0.16528347165283472,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,17,0.4387254901960785,0.0811918808119188,0.40267973202679735
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,18,0.05056759545923632,0.8481151884811519,0.9392574256087904
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,18,0.1331269349845201,0.5936406359364064,0.7982498453451358
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,18,-0.17234262125902994,0.48835116488351166,0.7454444428974825
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,18,0.24045407636738902,0.33566643335666435,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,18,-0.10629514963880288,0.6671332866713329,0.8407909209079092
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_6_SAENDO1,endothelial,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,18,0.06707946336429307,0.7923207679232077,0.9142162706806243
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,17,0.14460784313725492,0.5849415058494151,0.7982498453451358
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,17,0.625,0.007699230076992301,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,17,0.20833333333333337,0.42125787421257876,0.7326223899349196
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,17,-0.32598039215686275,0.20517948205179481,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,17,0.11519607843137256,0.6525347465253475,0.8407909209079092
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,17,0.43137254901960786,0.08389161083891611,0.40267973202679735
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_7_SAENDO2,endothelial,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,18,-0.15376676986584106,0.5371462853714628,0.7810381752522422
