dataset_id,contrast,lineage,program_id,score_method,analysis_tier,cell_gate,real_hedges_g,genes_dropped,loo_g_min,loo_g_median,loo_g_max,loo_positive_fraction,real_expected_direction,all_loo_expected_direction,sign_stable_vs_real
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,sensitivity,20,0.4452415462110028,353,0.39949715051804474,0.443785855494969,0.49056332093845745,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,sensitivity,20,0.920744195317323,353,0.8873026544880149,0.9207441953173232,0.9533590693335993,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,sensitivity,20,0.6804435557610932,123,0.5679420995187071,0.6791589693391199,0.8095355940457268,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,sensitivity,20,1.7048465420310592,123,1.6130072175120849,1.7048465420310588,1.8358238848802233,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,sensitivity,20,-0.6999414807906023,22,-0.7738552139009434,-0.7115559369532661,-0.5985729192923746,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,sensitivity,20,-0.4076663805172247,22,-0.5096692062348934,-0.41193415539879913,-0.3354383122473309,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,sensitivity,20,-0.5320352831767209,39,-0.679097271560201,-0.5321469516121969,-0.3537915901473213,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,sensitivity,20,-0.289346981197275,39,-0.4165314879188593,-0.29838998174159037,-0.1304229327329363,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,sensitivity,20,-1.7365552283809131,56,-2.1519755732403962,-1.7388035071976353,-1.4037601851951846,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,sensitivity,20,0.0421420790546528,56,-0.1672598088501417,0.05677106046110887,0.19237126436391444,0.7857142857142857,True,False,False
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_1,singscore,sensitivity,20,-0.5235667400938813,77,-0.724003354007825,-0.5219389340104049,-0.4485981035701573,0.0,False,False,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_1,standardized_mean,sensitivity,20,-1.2829300670088273,77,-1.3356975297345186,-1.2828449987355635,-1.2231839769761343,0.0,False,False,True
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_2,singscore,sensitivity,20,3.982788864136341,43,3.53511902664862,3.979981836077174,4.434766783337926,1.0,True,True,True
