dataset_id,contrast,lineage,source_state,program_id,score_method,cell_gate,analysis_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,effect_status
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_2,standardized_mean,20,sensitivity,3,7,-0.306788334013151,-0.098522449451535,0.208265884561616,0.15684885111696958,1.1993146280634264,0.6153353031740518,-0.00674256615771518,2.405371822284568,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_3,singscore,30,primary,3,6,0.5582273093085413,0.6070266187152588,0.048799309406717506,0.06869921295479682,0.6314069994604425,0.5248060249211821,-0.3972128093850744,1.6600268083059595,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_3,singscore,20,sensitivity,3,7,0.5582273093085413,0.5952369879857585,0.03700967867721727,0.06970910944709335,0.4795369950195007,0.4886662996482825,-0.478248952291133,1.4373229423301344,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_3,standardized_mean,30,primary,3,6,0.054207269550010435,0.14518984808826166,0.09098257853825123,0.3288517434398962,0.24592663642026066,0.5217312718193969,-0.7766666563457573,1.2685199291862785,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_3,standardized_mean,20,sensitivity,3,7,0.054207269550010435,0.1296883752373113,0.07548110568730088,0.30965640270452643,0.22016816691281413,0.4940649503602234,-0.7481991357932237,1.188535469618852,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_4,singscore,30,primary,3,6,0.6568802523711256,0.6730998831805762,0.016219630809450658,0.08223747760440084,0.1753148324630649,0.4790735075941575,-0.7636692424214838,1.1142989073476137,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_4,singscore,20,sensitivity,3,7,0.6568802523711256,0.6660489352572393,0.009168682886113722,0.07860429811489308,0.10535544738030173,0.4372543194847166,-0.7516630188097428,0.9623739135703462,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_4,standardized_mean,30,primary,3,6,0.5303573563922342,0.5808640739808256,0.05050671758859138,0.3489946739333771,0.1286405307357736,0.5175417154863857,-0.8857412316175424,1.1430222930890896,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_4,standardized_mean,20,sensitivity,3,7,0.5303573563922342,0.5656390667891571,0.03528171039692285,0.3283132293413709,0.09706386608356288,0.4887160758666697,-0.8608196426151097,1.0549473747822353,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_5,singscore,30,primary,3,6,0.4917652372651083,0.5376099008462648,0.04584466358115652,0.06068973845059106,0.6714613229931007,0.8757068777700139,-1.0449241574361263,2.387846803422328,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_5,singscore,20,sensitivity,3,7,0.4917652372651083,0.512965588784129,0.02120035151902072,0.08007112415462052,0.2391461940867504,0.7237246483057573,-1.179354116592534,1.6576465047660347,ESTIMATED
