lineage,program_id,score_method,source_state,mean_fraction_control,mean_fraction_case,mean_intensity_control,mean_intensity_case,abundance_component,intensity_component,combined_component,dataset_id,contrast
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_1,0.0,0.0017730496453900709,-3.6626571360887272,-3.6626571360887272,-0.00649407293632753,0.0,-0.00649407293632753,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_11,0.19807997061084343,0.26151713302075674,-0.4235756835409068,-0.4164016368282865,-0.026642888846452155,0.001648585545219043,-0.02499430330123311,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_12,0.001122929483710159,0.0,-1.812839875360387,-1.812839875360387,0.0020356913452876284,0.0,0.0020356913452876284,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_13,0.009262712959820221,0.040590788808465145,-1.9121467387204378,-2.23411703417553,-0.06494723298288678,-0.008025673346902896,-0.07297290632978967,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_15,0.08161984553750526,0.12523901019095934,0.1757474583168529,0.0471651712451929,0.004861631346100646,-0.013299192385296268,-0.008437561039195622,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_16,0.14094032679455448,0.11755635218145641,-0.009915675076154137,-0.31302966512911096,0.00377587281838912,-0.03917697988992847,-0.03540110707153935,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_19,0.0018878101402373248,0.0008305647840531562,-1.0519048125033204,-4.297988322566499,0.0028280748365670646,-0.004412036007954286,-0.0015839611713872213,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_2,0.0033783783783783786,0.0,-2.303803857270948,-2.303803857270948,0.007783121139428879,0.0,0.007783121139428879,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_21,0.015945468786674157,0.005086850061502029,-0.9789887061405075,-2.2647661220998776,0.01761134845889927,-0.013521440290120765,0.0040899081687785065,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_4,0.0033783783783783786,0.0,-1.7285527611301923,-1.7285527611301923,0.005839705274088488,0.0,0.005839705274088488,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_6,0.5359209375315033,0.44740625130741707,0.022609515382946727,-0.00878283250727109,-0.0006119322481301874,-0.015434474600970648,-0.016046406849100837,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_1,0.0011467889908256881,0.0,0.06068021653594213,0.06068021653594213,-6.958740428433731e-05,0.0,-6.958740428433731e-05,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_10,0.7900761882946274,0.909965034965035,0.22264462874013102,0.22268793075813426,0.02669520347151384,3.680760782791395e-05,0.026732011079341752,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_12,0.003787878787878788,0.0,0.0980378369155519,0.0980378369155519,-0.00037135544286193904,0.0,-0.00037135544286193904,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_13,0.011363636363636364,0.0,0.07456219720902335,0.07456219720902335,-0.0008472976955570835,0.0,-0.0008472976955570835,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_2,0.003787878787878788,0.0,0.021360950110904886,0.021360950110904886,-8.091268981403367e-05,0.0,-8.091268981403367e-05,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_21,0.004934667778704476,0.0,0.040646247072266495,0.040646247072266495,-0.00020057572575277462,0.0,-0.00020057572575277462,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_22,0.18490296099644854,0.07867132867132867,0.1719498575557497,0.08438568008727615,-0.013615471293377923,-0.011539832938298049,-0.025155304231675973,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,cluster_4,0.0,0.011363636363636364,0.09653790671581985,0.09653790671581985,0.0010970216672252257,0.0,0.0010970216672252257,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_1,0.0011467889908256881,0.0,-1.6398567062817637,-1.6398567062817637,0.0018805696172956006,0.0,0.0018805696172956006,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_10,0.7900761882946274,0.909965034965035,-0.2721178050989065,-0.40448645432163927,-0.04055865215710723,-0.1125160801729219,-0.15307473233002913,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_12,0.003787878787878788,0.0,-2.3323794852119275,-2.3323794852119275,0.008834770777317907,0.0,0.008834770777317907,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_13,0.011363636363636364,0.0,-2.0878923387764052,-2.0878923387764052,0.02372604930427733,0.0,0.02372604930427733,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_2,0.003787878787878788,0.0,-3.167472477522983,-3.167472477522983,0.011998001808799178,0.0,0.011998001808799178,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_21,0.004934667778704476,0.0,-2.7991118958474703,-2.7991118958474703,0.013812687281426912,0.0,0.013812687281426912,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_22,0.18490296099644854,0.07867132867132867,-0.8727081095290194,-1.8838654863384132,0.14641765635666135,-0.13325754366743445,0.0131601126892269,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,cluster_4,0.0,0.011363636363636364,-1.4318510246945926,-1.4318510246945926,-0.01627103437152946,0.0,-0.01627103437152946,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_1,0.0011467889908256881,0.0,0.1384507259294523,0.1384507259294523,-0.0001587737682677205,0.0,-0.0001587737682677205,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_10,0.7900761882946274,0.909965034965035,0.497712715538607,0.3670177910091289,0.05183577155536269,-0.11109337968546162,-0.059257608130098935,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_12,0.003787878787878788,0.0,0.0339728351772044,0.0339728351772044,-0.00012868498173183483,0.0,-0.00012868498173183483,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_13,0.011363636363636364,0.0,0.10361098389386081,0.10361098389386081,-0.0011773975442484184,0.0,-0.0011773975442484184,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_2,0.003787878787878788,0.0,0.05949446407179804,0.05949446407179804,-0.00022535781845378045,0.0,-0.00022535781845378045,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_21,0.004934667778704476,0.0,0.07700887267927237,0.07700887267927237,-0.0003800132026847608,0.0,-0.0003800132026847608,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_22,0.18490296099644854,0.07867132867132867,0.40075530424013295,0.2002152277402019,-0.03192104029578331,-0.02642860410669551,-0.05834964440247882,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,cluster_4,0.0,0.011363636363636364,0.17537699489928538,0.17537699489928538,0.0019929203965827883,0.0,0.0019929203965827883,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_1,0.0011467889908256881,0.0,-3.162257636899404,-3.162257636899404,0.0036264422441506933,0.0,0.0036264422441506933,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_10,0.7900761882946274,0.909965034965035,-0.24851382308681472,-0.9768827532918947,-0.07345569112795472,-0.6191286035450879,-0.6925842946730426,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_12,0.003787878787878788,0.0,-5.481573722115295,-5.481573722115295,0.0207635368261943,0.0,0.0207635368261943,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_13,0.011363636363636364,0.0,-4.038274334808494,-4.038274334808494,0.04588948107736925,0.0,0.04588948107736925,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_2,0.003787878787878788,0.0,-5.258175688260042,-5.258175688260042,0.01991733215250016,0.0,0.01991733215250016,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_21,0.004934667778704476,0.0,-4.867584266540214,-4.867584266540214,0.024019911240224852,0.0,0.024019911240224852,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_22,0.18490296099644854,0.07867132867132867,-0.8887984442621572,-2.8028285311258827,0.1960837797654583,-0.25224456027393016,-0.05616078050847187,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,cluster_4,0.0,0.011363636363636364,-2.6378289064400193,-2.6378289064400193,-0.029975328482272946,0.0,-0.029975328482272946,GSE202379,clinical_cirrhosis_vs_healthy
macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,cluster_1,0.0011467889908256881,0.0,0.29182883394841275,0.29182883394841275,-0.00033466609397753757,0.0,-0.00033466609397753757,GSE202379,clinical_cirrhosis_vs_healthy
