dataset_id,trend,lineage,program_id,score_method,n_donors,n_normal,n_masl,n_mash,spearman_rho,permutation_p_two_sided,permutations,theil_sen_slope_per_level,theil_sen_intercept,theil_sen_ci95_low,theil_sen_ci95_high,fdr_within_lineage_method,cohort,fdr,analysis_tier,cell_gate,n_f0,n_fibrosis,n_cirrhosis,permutation_mode,permutation_fdr_within_lineage_method
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,18.0,5.0,4.0,9.0,0.3648207413810944,0.1380861913808619,10000.0,0.1370476442810914,-0.2283860398610491,-0.0210847121444218,0.2964483356575067,0.2071292870712928,GSE244832: normal→MASL→MASH,0.2071292870712928,,,,,,,
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_1,singscore,,,,,-0.6790155757665511,0.0263203463203463,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.0614141414141414,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.0614141414141414
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_1,standardized_mean,,,,,-0.6886470023731688,0.0238961038961038,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.0921212121212121,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.0921212121212121
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_2,singscore,,,,,0.756066988619493,0.01004329004329,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.0381818181818181,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.0381818181818181
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_2,standardized_mean,,,,,0.6790155757665511,0.0263203463203463,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.0921212121212121,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.0921212121212121
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_3,singscore,,,,,0.7512512753161841,0.0109090909090909,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.0381818181818181,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.0381818181818181
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_3,standardized_mean,,,,,0.5200970367573582,0.1035497835497835,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.1449696969696969,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.1449696969696969
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_4,singscore,,,,,0.0,1.0,,,,,,,GSE256398: F0→fibrosis→cirrhosis,1.0,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,1.0
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_4,standardized_mean,,,,,-0.4045199174779453,0.2154112554112554,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.2451948051948052,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.2451948051948052
GSE256398_human,masld_f0_to_mash_fibrosis_to_mash_cirrhosis,endothelial,RAM2019_ENDO_5,singscore,,,,,0.5971484496103002,0.0581818181818181,,,,,,,GSE256398: F0→fibrosis→cirrhosis,0.0955151515151515,post_lock_external,30.0,3.0,4.0,4.0,exact_11550_allocations,0.0955151515151515
