dataset_id,contrast,lineage,program_id,score_method,cell_gate,analysis_tier,coverage_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,30,primary,primary,3,4,0.3385318601305797,0.2484314715507634,-0.0901003885798162,0.0655499361274813,-1.3745305320296453,-1.1574993953933854,0.6410925329357575,-2.4140407599474702,0.0990419691606991,0.8469438106314602,-2.817509264231047,0.5025104734442765,0.1714285714285714,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,30,primary,primary,3,4,0.1078456225414095,-0.1226539942607492,-0.2304996168021588,0.1978230361021317,-1.1651808674251507,-0.9812049409896004,0.649214282025643,-2.2536649337598607,0.2912550517806597,0.8243844048473831,-2.596998374490471,0.6345884925112703,0.2285714285714285,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,30,primary,primary,3,4,0.6663339882195579,0.6006460800304328,-0.065687908189125,0.0534948688059119,-1.227929138913332,-1.0340455906638584,0.7340113224968762,-2.472707782757736,0.404616601430019,0.8308178871993971,-2.6624486495746766,0.5943574682469599,0.2,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,30,primary,primary,3,4,0.231070494284802,0.0018091343213008,-0.2292613599635012,0.1845578367765104,-1.2422195880044062,-1.046079653056342,0.786264596874161,-2.587158262929697,0.4949989568170132,0.8323230126502458,-2.6774327578508235,0.5852734517381395,0.2285714285714285,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,30,primary,primary,3,4,0.5348352229600771,0.4637277274731161,-0.071107495486961,0.0577910001531324,-1.2304250713526854,-1.0361474285075245,0.6882316581924159,-2.3850814785646595,0.3127866215496107,0.8310797089892215,-2.6650636581263987,0.5927688011113494,0.2,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,30,primary,primary,3,4,0.1190394501072005,-0.0185488814550958,-0.1375883315622963,0.2245357034522136,-0.6127681675871133,-0.516015299020727,0.6846867967184034,-1.8580014205887976,0.8259708225473437,0.7809996877180415,-2.0467746869480883,1.0147440889066344,0.5428571428571428,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,30,primary,primary,4,4,0.3549659125064895,0.4836171680738858,0.1286512555673962,0.2407208353419288,0.5344417128856139,0.4647319242483599,0.7099970268936753,-0.9268622484632436,1.8563260969599635,0.719720765379161,-0.9459207758947956,1.8753846243915155,0.5714285714285714,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,30,primary,primary,4,4,-0.4477339834694012,-0.0577627035989857,0.3899712798704154,0.7523961217232606,0.5183058080858252,0.4507007026833262,0.7099970268936755,-0.9408934700282776,1.8422948753949304,0.71897676848185,-0.9584937635410996,1.8598951689077523,0.4857142857142857,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,30,primary,primary,4,4,0.4603569470265501,0.3380330682551888,-0.1223238787713613,0.0809500973625798,-1.5111023057015749,-1.314002004957891,0.7099970268936755,-2.705596177669495,0.0775921677537128,0.8024234786483463,-2.8867520231086496,0.2587480131928676,0.0285714285714285,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,30,primary,primary,4,4,0.0332191515244336,-0.235412990421351,-0.2686321419457847,0.206129085419862,-1.3032228877288756,-1.1332372936772832,0.7099970268936755,-2.524831466388888,0.2583568790343207,0.7791141745480896,-2.660301075791539,0.3938264884369724,0.1428571428571428,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,30,primary,primary,4,4,0.6575550379240898,0.6340093312776462,-0.0235457066464435,0.0638853327353133,-0.368562010062575,-0.3204887044022391,0.7099970268936754,-1.7120828771138428,1.0711054683093646,0.7131335200863759,-1.7182304037715357,1.0772529949670575,0.6285714285714286,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,30,primary,primary,4,4,-0.168506505993115,0.0241230164306549,0.1926295224237699,0.2127369302558065,0.9054822883461824,0.7873759029097239,0.7099970268936753,-0.6042182698018795,2.1789700756213275,0.7427404668120904,-0.6683954120419732,2.243147217861421,0.2857142857142857,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,30,primary,primary,4,4,0.5267618156468317,0.571074685177039,0.0443128695302073,0.0754983510341805,0.5869382433285916,0.510381081155297,0.7099970268936754,-0.8812130915563067,1.9019752538669008,0.7222931565507901,-0.9053135056842516,1.9260756679948456,0.4857142857142857,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,30,primary,primary,4,4,-0.062628280634569,0.2881494814434538,0.3507777620780228,0.2033281152699587,1.7251808074466004,1.500157223866609,0.7099970268936756,0.1085630511550048,2.891751396578213,0.8291799008819483,-0.1250353818620095,3.125349829595228,0.0857142857142857,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,30,primary,primary,4,4,0.7378038218186458,0.7629413121932679,0.025137490374622,0.0682754893439349,0.3681773739913168,0.3201542382533189,0.7099970268936754,-1.0714399344582848,1.7117484109649226,0.7131210005012919,-1.0775629227292132,1.717871399235851,0.6857142857142857,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,30,primary,primary,4,4,-0.4749312673224475,0.1600498282586926,0.6349810955811401,0.2858419131710997,2.2214415252708304,1.9316882828442004,0.7099970268936754,0.5400941101325967,3.323282455555804,0.9005285310156094,0.166652362053606,3.696724203634795,0.0285714285714285,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,30,primary,primary,4,4,0.5878121205318423,0.5545375463014928,-0.0332745742303495,0.0783373032286764,-0.4247602720407268,-0.3693567582962842,0.7099970268936753,-1.7609509310078877,1.0222374144153192,0.7151004833179705,-1.7709537055995064,1.032240189006938,0.4857142857142857,exact_70_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,30,primary,primary,4,4,0.2136644483325628,0.0199028291611405,-0.1937616191714222,0.2814295336033184,-0.688490709168192,-0.5986875731897322,0.7099970268936754,-1.990281745901336,0.7929065995218715,0.7279209440987743,-2.0254126236233296,0.8280374772438653,0.4285714285714285,exact_70_allocations
