dataset_id,analysis_set,lineage,program_id,score_method,histology_axis,n_donors,n_levels,spearman_rho,permutation_p_two_sided,permutations,fdr_within_set_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,steatosis,18,3,0.2979312289247133,0.2297770222977702,10000,0.8207179282071794
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,ballooning,18,3,-0.072131535241758,0.7817218278172183,10000,0.9266073392660732
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,inflammation,18,3,-0.2452472198219775,0.3272672732726727,10000,0.3587641235876412
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,fibrosis,20,5,-0.5031366676470459,0.0265973402659734,10000,0.1595840415958404
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,steatosis,18,3,0.0525089522242789,0.8321167883211679,10000,0.9668033196680332
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,ballooning,18,3,-0.373772500798201,0.12998700129987,10000,0.38996100389961
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,inflammation,18,3,-0.2413127724451543,0.3431656834316568,10000,0.5147485251474853
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,fibrosis,20,5,-0.0993753604839422,0.6661333866613338,10000,0.7993600639936005
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,steatosis,18,3,0.1552438587500421,0.5262473752624738,10000,0.8207179282071794
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,ballooning,18,3,0.1377056581888109,0.5872412758724127,10000,0.8808619138086191
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,inflammation,18,3,-0.5075437116101887,0.0297970202979702,10000,0.1787821217878212
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,fibrosis,20,5,0.2715216542356531,0.2435756424357564,10000,0.3653634636536346
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,steatosis,18,3,0.3013557258089054,0.2237776222377762,10000,0.6713328667133287
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,ballooning,18,3,0.2295094303146848,0.3591640835916408,10000,0.5896210378962105
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,inflammation,18,3,-0.305575412933266,0.2172782721727827,10000,0.4803519648035196
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,fibrosis,20,5,-0.4397555322202797,0.0532946705329467,10000,0.2090790920907909
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,steatosis,18,3,-0.1449703680974658,0.5631436856314369,10000,0.8207179282071794
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,ballooning,18,3,-0.2360668426093901,0.3467653234676532,10000,0.6935306469353065
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,inflammation,18,3,-0.2439357373630364,0.3298670132986701,10000,0.3587641235876412
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,fibrosis,20,5,-0.2910837330710747,0.2118788121187881,10000,0.3653634636536346
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,steatosis,18,3,-0.1974793203217448,0.4227577242275772,10000,0.8455154484551545
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,ballooning,18,3,-0.1836075442517478,0.4766523347665233,10000,0.5896210378962105
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,inflammation,18,3,-0.1390171406477519,0.5800419958004199,10000,0.6960503949605039
