dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability,context
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_D_TMO,4,9,10000,0.4023,-0.1651960446852747,-1.7856543304725567,1.2026521591324206,5.0,3.0,6.0,0.6476,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_E_TMO,4,9,10000,0.9994,1.611601577217204,0.6829745570953445,3.091258364628766,1.0,1.0,3.0,1.0,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_F_CDC1,4,9,10000,0.8935,0.5322090625073281,-0.3614814201732554,1.459936043163795,4.0,3.0,5.0,0.9888,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,5,9,10000,0.9623,1.0209953937413705,-0.1328784411956001,3.025200807605981,4.0,1.0,6.0,0.9501,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,5,9,10000,1.0,1.7322096153714654,0.8466019987147401,4.142412686081505,1.0,1.0,4.0,1.0,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,5,9,10000,0.9966,1.3622632583197467,0.3760133321454715,3.145702315200404,3.0,1.0,5.0,0.9899,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,5,9,10000,0.3263,-0.2235775113775805,-1.261611570953335,0.912425595463167,6.0,3.0,6.0,0.1307,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,5,9,10000,0.972,1.0307287397411249,-0.0309916272421882,2.641707597443216,4.0,1.0,6.0,0.9299,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,5,9,10000,0.9978,1.3000253282030385,0.393564376289328,2.9864465005590324,3.0,1.0,5.0,0.9994,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,5,9,10000,0.8223,0.5581170327093296,-0.7432262594370562,2.2682110110696696,4.0,1.0,6.0,0.8559,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,5,9,10000,0.9808,1.1614288831495898,0.0527438672341129,4.140666911008806,2.0,1.0,4.0,0.9999,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,5,9,10000,0.9676,1.057591423227373,-0.0645067415052073,3.34065766568621,2.0,1.0,5.0,0.9893,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,5,9,10000,0.1964,-0.3885068036427578,-1.406607209908485,0.5916636498866893,6.0,3.0,6.0,0.209,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,5,9,10000,0.9805,1.045551811759204,0.0455599612881348,3.010509515553211,3.0,1.0,5.0,0.9898,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,5,9,10000,0.8792,0.6493644385073558,-0.4576770065092494,2.1636714822683496,4.0,2.0,6.0,0.9561,244:MASH
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_1,6,4,10000,0.0,-2.3743243942605963,-5.922223784715669,-1.2991112564725036,7.0,7.0,7.0,0.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_2,6,4,10000,1.0,3.029870293693012,1.9145003013523487,5.523709132369625,1.0,1.0,3.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_3,6,4,10000,0.9981,1.442369309959428,0.5943829728559491,2.9424915887891,4.0,1.0,5.0,0.9914,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_4,6,4,10000,0.7665,0.4727094496200157,-0.9208616056415856,2.3223550199776666,5.0,3.0,6.0,0.5314,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_5,6,4,10000,0.9999,1.6260541675647673,0.8134399109040938,3.144147108392407,3.0,3.0,5.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,6,4,10000,1.0,2.3743222087999394,1.57304048139157,4.410809033523186,2.0,1.0,3.0,0.9999,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_7_SAENDO2,6,4,10000,0.7461,0.4073303956220108,-0.7615609381362521,2.2684241495965463,6.0,3.0,6.0,0.4773,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_1,6,4,10000,0.0,-4.4238352171576905,-12.537112274328138,-3.547316337847739,7.0,7.0,7.0,0.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_2,6,4,10000,0.9999,2.3404750595923742,1.031305750091535,7.107310200790061,2.0,1.0,4.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_3,6,4,10000,0.6835,0.2407223975357627,-1.2446833582168693,1.3578160081052806,5.0,3.0,6.0,0.7136,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_4,6,4,10000,0.5049,0.0100585601790959,-1.515564988024043,1.8584755482599424,6.0,4.0,6.0,0.4974,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_5,6,4,10000,0.9993,1.7895580849034451,0.681938704543507,4.357976094295905,3.0,2.0,4.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,6,4,10000,1.0,3.214438925614576,1.7831543079878267,10.16522937788698,1.0,1.0,2.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_7_SAENDO2,6,4,10000,0.8349,0.5599867509038499,-0.5479964802142554,2.4094082020860443,4.0,3.0,6.0,0.789,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_A_SAM,6,4,10000,0.997,1.394959433874806,0.4901817748491732,3.1646877495000423,1.0,1.0,2.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_B_SAM,6,4,10000,0.0885,-0.6621377206363281,-2.3936363008088426,0.3362295831506137,5.0,3.0,6.0,0.9398,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_C_KC,6,4,10000,0.0066,-1.2995726077873575,-2.82214319921975,-0.3023017356762895,6.0,5.0,6.0,0.0913,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_D_TMO,6,4,10000,0.1551,-0.5906716471973756,-2.132663706243754,0.5616124325824048,4.0,4.0,6.0,0.9689,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_E_TMO,6,4,10000,0.6294,0.1825856513691543,-0.8834778542121452,2.303535624395827,3.0,1.0,4.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_F_CDC1,6,4,10000,0.6884,0.2640496594601233,-1.0040617846290767,1.4494755283168217,2.0,2.0,3.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_A_SAM,6,4,10000,1.0,1.7580305738391295,0.9599382417613216,3.732403038206574,1.0,1.0,2.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_B_SAM,6,4,10000,0.5684,0.086580910710181,-1.044494156037777,1.6039202960039385,4.0,2.0,5.0,0.9998,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_C_KC,6,4,10000,0.1157,-0.5886765003879433,-1.512834062770385,0.6908323739575631,5.0,3.0,6.0,0.7715,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_D_TMO,6,4,10000,0.0227,-1.0885648727367945,-5.175119856717924,-0.0251890235665746,6.0,5.0,6.0,0.2287,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_E_TMO,6,4,10000,0.6762,0.2399139001012988,-0.7622584511705254,2.0915044320738096,3.0,2.0,4.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_F_CDC1,6,4,10000,0.8683,0.5739105192463544,-0.4590955370458692,2.255022541310625,2.0,1.0,4.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,6,4,10000,0.8694,0.5116138132460306,-1.3373876236832851,1.3303274896807686,5.0,2.0,6.0,0.5874,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,6,4,10000,0.7808,0.4136829300296064,-0.8690570458520518,1.5208904455910062,5.0,4.0,6.0,0.5166,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,6,4,10000,0.9274,0.7694943445617786,-0.3108533936974981,2.1381278865461084,4.0,2.0,5.0,0.9987,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,6,4,10000,0.9323,0.7595146542121123,-0.2388688913951495,2.313391762136566,4.0,1.0,6.0,0.8973,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,6,4,10000,0.9974,1.4634399746628364,0.452651015750026,3.2070634731761314,1.0,1.0,3.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,6,4,10000,0.988,1.1230914926533648,0.143726389489255,3.964621704806688,2.0,1.0,4.0,1.0,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,6,4,10000,0.5986,0.1206649733713343,-1.9354962321076652,1.10928025799387,5.0,2.0,6.0,0.5554,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,6,4,10000,0.5301,0.0388782062178303,-1.5776042014267733,1.0815348913255858,6.0,4.0,6.0,0.4776,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,6,4,10000,0.9227,0.7821864567216137,-0.3791382242152089,2.3292487138511544,3.0,2.0,5.0,0.9999,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,6,4,10000,0.9246,0.7428047542075171,-0.2689951106878769,2.8634382974066823,3.0,1.0,6.0,0.9712,256:MASH-C
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,6,4,10000,0.991,1.4520270155473405,0.3461565917519281,3.469814030987282,1.0,1.0,4.0,0.9969,256:MASH-C
