lineage,gene_symbol,program_recurrence,measured_gse202379,measured_gse244832,gse202379_n_donors,gse202379_detection_rate,gse202379_stage_spearman_rho,gse244832_n_control,gse244832_n_case,gse244832_detection_rate,gse244832_mash_vs_normal_hedges_g,passes_measurement,passes_discovery_effects,stage_effect_percentile,mash_effect_percentile,mean_discovery_effect_percentile
mesenchymal_hsc_myofibroblast,CYBA,2,True,True,24.0,0.9583333333333334,-0.1340537633397776,5.0,9.0,1.0,0.0684738913654529,True,False,0.1976744186046511,0.313953488372093,0.2558139534883721
mesenchymal_hsc_myofibroblast,EFEMP1,2,True,True,24.0,0.9166666666666666,-0.0412562815287855,5.0,9.0,1.0,1.936214173518086,True,False,0.2790697674418604,0.9767441860465116,0.627906976744186
mesenchymal_hsc_myofibroblast,EMP3,2,True,True,24.0,0.9166666666666666,0.0273547084049556,5.0,9.0,0.9285714285714286,0.1483986321806158,True,False,0.4069767441860465,0.3604651162790697,0.3837209302325581
mesenchymal_hsc_myofibroblast,ENG,2,True,True,24.0,1.0,0.2053398782930372,5.0,9.0,1.0,0.958545917645888,True,True,0.6744186046511628,0.8255813953488372,0.75
mesenchymal_hsc_myofibroblast,FBLN1,2,True,True,24.0,0.9583333333333334,0.2766259932462969,5.0,9.0,1.0,0.3853038645345439,True,True,0.7790697674418605,0.6046511627906976,0.6918604651162791
mesenchymal_hsc_myofibroblast,FCGRT,2,True,True,24.0,1.0,0.0735278166813495,5.0,9.0,1.0,-0.669171066489624,True,False,0.5,0.0465116279069767,0.2732558139534883
mesenchymal_hsc_myofibroblast,FN1,2,True,True,24.0,1.0,0.3694324447892197,5.0,9.0,1.0,-0.0696391337136513,True,False,0.8953488372093024,0.2325581395348837,0.563953488372093
mesenchymal_hsc_myofibroblast,FSTL1,3,True,True,24.0,1.0,0.1923380082701156,5.0,9.0,1.0,-0.5132848998255201,True,False,0.6511627906976745,0.0813953488372093,0.3662790697674419
mesenchymal_hsc_myofibroblast,GGT5,2,True,True,24.0,1.0,-0.1748527347910142,5.0,9.0,1.0,-0.4433362848834014,True,False,0.1744186046511628,0.127906976744186,0.1511627906976744
mesenchymal_hsc_myofibroblast,GPRC5A,2,True,True,24.0,0.2916666666666667,0.0926537236567495,5.0,9.0,0.8571428571428571,0.1687052142483511,True,False,0.5348837209302325,0.3837209302325581,0.4593023255813953
