held_out_dataset,lineage,score_method,program_id,observed_effect_z,predicted_effect_z_from_other_cohorts,n_training_cohorts
GSE181483_human,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,1.087446355677651,0.1135777934252717,3
GSE181483_human,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,0.2314605330365578,-0.0001096620042357,3
GSE181483_human,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,0.3492965740398791,0.80151838914023,3
GSE181483_human,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,-0.4535991700279707,0.6914919611997062,3
GSE181483_human,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,0.31533061464186,0.5930924497419298,3
GSE181483_human,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,-0.6474711138146145,0.3769668406887276,3
GSE181483_human,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,-1.2841860933429416,-0.8183186163304804,3
GSE181483_human,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,-0.3983845216991926,-0.6838542097458641,3
GSE181483_human,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,0.7245513643624145,-0.9186653276331408,3
GSE181483_human,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,1.9299215180530136,-0.8285257353718981,3
GSE181483_human,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,-1.192438815378862,0.2287953116561898,3
GSE181483_human,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,-0.6619272455477927,0.4440308052335647,3
