program_id,paper_id,program_name,cell_lineage,gene_symbol,direction,discovery_dataset,discovery_assay,disease_etiology,source_table,source_page,verified,data_lineage_class,notes
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,STK38L,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,RP11-467L13.7,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,FMNL3,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,RP11-796E2.4,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,SDSL,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,RCBTB2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,MMP14,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,PLEK2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,VASH1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,IFI27L2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,NUDT14,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,TM6SF1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,MEF2A,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,TNFSF12,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,TMEM107,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,PIGS,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,CISD3,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,SNHG25,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,MILR1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,C3,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,HAMP,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,FCGBP,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,SERTAD1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,APOC2,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,CLEC11A,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,DONSON,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,PDXK,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_A_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene A,macrophage_monocyte,OLFML3,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,RPL22,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,PARK7,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,ENO1,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,CAPZB,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
RAM2019_MAC_SIG_B_SAM,Ramachandran2019_Nature,scar-associated macrophage metagene B,macrophage_monocyte,RPL11,UP_IN_STATE,GSE136103,scRNA-seq,mixed nonviral cirrhosis,Supplementary Table 9,supplementary file,TRUE,REUSED,SCAR_ASSOCIATED_MACROPHAGE; exact author metagene list; external only outside GSE136103
