analysis_set,lineage,program_id,score_method,n_donors,n_stages,stage_min,stage_max,spearman_rho,spearman_bootstrap_ci95_low,spearman_bootstrap_ci95_high,permutation_p_two_sided,standardized_score_slope_per_stage,hc3_se,hc3_ci95_low,hc3_ci95_high,resamples,fdr_bh,positive_fdr_005,dual_score_positive_fdr_005
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,24,5,0,4,-0.14122720886966533,-0.463322046790055,0.23578288456241828,0.5070492950704929,-0.11184681373476205,0.15965521589949483,-0.42477103689777196,0.20107740942824784,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,24,5,0,4,0.37436418859101767,-0.020556458752967948,0.6885838955139323,0.06989301069893011,0.37489852686534897,0.19441769028139566,-0.006160146086186535,0.7559571998168845,10000,0.37436256374362564,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,24,5,0,4,0.5855324913770887,0.19956969291663137,0.8474999871866598,0.003999600039996,0.5092907776423328,0.16504554299257967,0.18580151337687661,0.8327800419077889,10000,0.143985601439856,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,24,5,0,4,0.2667625056427012,-0.16770934517248734,0.6363133401299695,0.20327967203279673,0.269115875746249,0.19586421234347173,-0.11477798044695559,0.6530097319394537,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,24,5,0,4,0.32325338919056734,-0.12170629475682053,0.6693584586434127,0.11938806119388061,0.31294896280360157,0.18296003122857418,-0.045652698404403835,0.6715506240116069,10000,0.4875512448755124,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,24,5,0,4,0.08025292186561936,-0.34531652034073346,0.4886611678878791,0.7050294970502949,0.06115187166853844,0.20140050205448687,-0.33359311235825584,0.45589685569533267,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,24,5,0,4,0.21116830278607104,-0.22989358861625356,0.6032584388609069,0.32526747325267474,0.13128994198963417,0.21189172282384328,-0.2840178347450986,0.5465977187243669,10000,0.7806419358064194,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,24,5,0,4,-0.07442449737258555,-0.5613668369996998,0.4393111314374456,0.7256274372562743,-0.1209688104214939,0.2696471763370541,-0.6494772760421199,0.40753965519913216,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,24,5,0,4,-0.32549509091865725,-0.7107111562839774,0.1491150783239819,0.12188781121887811,-0.23112223277260965,0.23041848276939209,-0.6827424590006181,0.2204979934553988,10000,0.4875512448755124,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,24,5,0,4,0.12194857400809198,-0.3046874621043982,0.5248000382413779,0.5740425957404259,0.14577136438749294,0.2095027281365996,-0.26485398276024225,0.5563967115352282,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,24,5,0,4,0.41650818107910825,-0.005012556750863937,0.7231820213928831,0.045295470452954706,0.380383867386588,0.1872628873049038,0.013348608268976547,0.7474191265041995,10000,0.37436256374362564,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,44,5,0,4,-0.12841035860601022,-0.4414418044426037,0.20558130624378237,0.40035996400359963,-0.12270807417093545,0.13809462038090595,-0.3933735301175111,0.14795738177564022,10000,0.62327100623271,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,44,5,0,4,-0.2617290389575003,-0.5476592903631111,0.07966943530689202,0.08339166083391661,-0.23914872031930867,0.13796908513653847,-0.5095681271869241,0.031270686548306725,10000,0.28698948286989484,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,44,5,0,4,0.3534713468766903,0.020129000394172494,0.6266254551108791,0.018698130186981302,0.33051790782094215,0.1238937738187933,0.0876861111361073,0.5733497045057769,10000,0.10387532675303898,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,44,5,0,4,0.2827337687800686,-0.04637766407223245,0.5635745902860747,0.0643935606439356,0.2455215782850436,0.12418034800160425,0.0021280962018992433,0.48891506036818794,10000,0.2575742425757424,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,44,5,0,4,0.072903014160804,-0.21281422787153773,0.3398402959584197,0.6364363563643636,0.06175647387178835,0.08849364175283675,-0.11169106396377168,0.23520401170734836,10000,0.715990900909909,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,44,5,0,4,-0.09426864999406934,-0.366285098389962,0.196474754761324,0.5392460753924607,-0.07919291754163824,0.09715630975815069,-0.2696192846676136,0.11123344958433712,10000,0.6787063229160956,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,44,5,0,4,0.1370721028627394,-0.17800930236974713,0.4381467154498144,0.37676232376762325,0.10842648168524734,0.11928967422333832,-0.12538127979249575,0.34223424316299045,10000,0.62327100623271,False,False
including_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,44,5,0,4,0.04164855363443951,-0.28044193132986467,0.36489545880781393,0.7937206279372063,0.05295170253379638,0.1316644936372775,-0.2051107049952675,0.3110141100628603,10000,0.8318253888896825,False,False
