analysis_set,lineage,program_id,score_method,fibrosis_stage_numeric,n_donors,median_score,q25_score,q75_score
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,3,5,0.5677091575309663,0.5051215804121811,0.6057957708118227
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,4,2,0.564429862837846,0.552955726126928,0.575903999548764
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,0,3,-0.3292563414217984,-0.37495864575698823,-0.10361199654798685
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,1,7,0.0829248128736594,-0.108903208390986,0.17706622239625114
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,2,7,0.129350589504062,0.01099528165811715,0.34693004999290794
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,3,5,0.0803093870315041,-0.1845174900212166,0.085038328018819
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,4,2,0.2872139308419739,0.23825982748688357,0.33616803419706415
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,0,3,0.4334691561040207,0.3295843823216962,0.45895411615757375
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,1,7,0.3716402054804486,0.29112010128498034,0.3908014028551887
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,2,7,0.4462592953708688,0.3379374827189777,0.46849687850168076
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,3,5,0.3878632652764235,0.3068294599589622,0.4421074843197461
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,4,2,0.3515702082454122,0.3514716154663327,0.3516688010244916
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,0,3,0.0671671610590194,-0.24723041596602183,0.341299039789793
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,1,7,-0.0368234279411782,-0.13050678783613553,0.0547794221315505
