dataset_id,analysis_set,model,lineage,program_id,score_method,histology_axis,n_donors,standardized_beta,hc3_se,hc3_ci95_low,hc3_ci95_high,hc3_p_two_sided,model_r_squared,incremental_r_squared,vif,fdr_within_set_model_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,steatosis,18,-0.13022625117828907,0.6237517944373763,-1.3527573035677778,1.0923048012111998,0.83462079657941,0.4215649973652231,0.00822864595801831,1.9712886126230542,0.916857208329474
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,ballooning,18,0.8124462835860881,0.5277972355847779,-0.22201728929987874,1.8469098564720547,0.12372737587633913,0.4215649973652231,0.2425883082994793,2.5762855040656354,0.37118212762901737
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,inflammation,18,-0.3972812530579841,0.49974472343262777,-1.3767629124498646,0.5822004063338964,0.42663189584001315,0.4215649973652231,0.09569448489053434,1.6151618824214482,0.6358044221594001
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,fibrosis,18,-0.0109753849392192,0.26731086395038123,-0.5348950509582527,0.5129442810798143,0.9672492534247771,0.06190806141018146,0.0001067432676111757,1.1214426373292743,0.9672492534247771
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,steatosis,18,-0.020785435484870926,0.32898886297091634,-0.6655917582226499,0.6240208872529082,0.9496233664033582,0.06217349270101902,0.0003721745584487346,1.1554577667052146,0.9496233664033582
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,ballooning,18,0.269675756909497,0.3429272722987734,-0.402449346112659,0.941800859931653,0.4316370261854072,0.13112920377645298,0.0693278856338827,1.0435539835515637,0.6474555392781108
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,inflammation,18,-0.1905085048746703,0.20042929054482356,-0.5833426957894389,0.20232568604009826,0.3418570776147468,0.0969344643919996,0.035133146249429315,1.0298848765249997,0.7299337991566187
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,fibrosis,18,-0.3313238816232825,0.6357172057557017,-1.5773067092568969,0.9146589460103319,0.6022405214560519,0.3047115672813242,0.04461231016206724,2.323343875966578,0.8846387008319126
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,steatosis,18,-0.2271324862013292,0.7195159616717643,-1.6373578573796892,1.183092884977031,0.7522499585594276,0.3047115672813242,0.025031669094035758,1.9712886126230542,0.9763316493847906
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,ballooning,18,0.7250041711629511,0.6024474058444274,-0.45577104687171177,1.905779389197614,0.2288093933541835,0.3047115672813242,0.1931797339116894,2.5762855040656354,0.595704926277093
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,inflammation,18,-0.266990880530326,0.5320007025307448,-1.3096930972405927,0.7757113361799406,0.615764671162698,0.3047115672813242,0.0432198863261819,1.6151618824214482,0.94381363840126
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,fibrosis,18,-0.2419717127058264,0.26785523474361683,-0.7669583258738372,0.28301490046218436,0.3663308849652429,0.5570615659116762,0.05188360781414714,1.1214426373292743,0.9750391700000737
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,steatosis,18,0.15004085354480468,0.21836187146596758,-0.27794055012525626,0.5780222572148657,0.4920069837247477,0.5245710688586764,0.01939311076114736,1.1554577667052146,0.8752447849965482
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,ballooning,18,0.05681878674009974,0.24631595874605355,-0.42595162121961894,0.5395891946998185,0.8175677606879195,0.5082555289094235,0.0030775708118944145,1.0435539835515637,0.8175677606879196
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,inflammation,18,-0.23451637650585863,0.2498535874053437,-0.7242204092284628,0.25518765621674544,0.3479283425916544,0.5584175425265412,0.05323958442901211,1.0298848765249997,0.41751401110998526
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,fibrosis,18,-0.35891739175560267,0.3460902487271908,-1.0372418146614057,0.3194070311502005,0.2997064971749669,0.6966495236234307,0.052352597912201815,2.323343875966578,0.8837606456026553
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,steatosis,18,0.2014185084124977,0.25659871833620923,-0.3015057380056099,0.7043427548306054,0.43247981264498314,0.6966495236234307,0.019684756664687497,1.9712886126230542,0.916857208329474
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,ballooning,18,0.32761269442573826,0.3426230349441059,-0.34391611433851776,0.9991415031899943,0.33897628860347195,0.6966495236234307,0.03944591152382171,2.5762855040656354,0.5084644329052079
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,inflammation,18,-0.31157633528402173,0.3180574437974861,-0.9349574701419668,0.3118047995739234,0.3272723280919376,0.6966495236234307,0.05885992370245419,1.6151618824214482,0.6358044221594001
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,fibrosis,18,-0.2749750482978755,0.20999555070716344,-0.6865587645975706,0.13660866800181953,0.19038780897928131,0.5916525055840509,0.06700196580737883,1.1214426373292743,0.9026320876808298
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,steatosis,18,-0.039566238730675926,0.18892512400443728,-0.4098526775541366,0.33072020009278474,0.8341140214214946,0.5259991236434136,0.0013485838667415262,1.1554577667052146,0.9496233664033582
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,ballooning,18,-0.16801287318841956,0.2001082107002593,-0.5602177591716805,0.22419201279484136,0.4011270389306584,0.5515602648060032,0.02690972502933109,1.0435539835515637,0.6474555392781108
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,inflammation,18,-0.0990443995318487,0.20731879843727716,-0.5053817777870308,0.3072929787233334,0.6328355564329617,0.5341467026099671,0.009496162833295019,1.0298848765249997,0.7299337991566187
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,fibrosis,18,-0.2927942774520268,0.4105275495009099,-1.0974134891352945,0.5118249342312409,0.4757129197536598,0.5926039561714416,0.034839699482678954,2.323343875966578,0.8846387008319126
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,steatosis,18,0.011486036201746652,0.38714935544240076,-0.7473127571032547,0.7702848295067481,0.9763316493847906,0.5926039561714416,6.401351293483515e-05,1.9712886126230542,0.9763316493847906
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,ballooning,18,0.0019089110276802046,0.43840537868657775,-0.857349841826656,0.8611676638820164,0.9965258505067844,0.5926039561714416,1.3392200008954802e-06,2.5762855040656354,0.9965258505067845
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,inflammation,18,0.028090437723227196,0.2880546859813551,-0.5364863723782236,0.592667247824678,0.9223152586064046,0.5926039561714416,0.00047841829439398964,1.6151618824214482,0.987407761226025
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,fibrosis,18,-0.011896058190103094,0.18979957684735482,-0.38389639309186085,0.3601042767116547,0.9500237542023008,0.082297248494002,0.0001254027702928262,1.1214426373292743,0.9750391700000737
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,steatosis,18,-0.07671527841650827,0.4886320973955207,-1.034416591001997,0.8809860341689802,0.8752447849965482,0.08724166124639077,0.005069815522681598,1.1554577667052146,0.8752447849965482
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,ballooning,18,0.14421768010842115,0.3084554725352453,-0.46034393689494346,0.7487792971117858,0.640107995827737,0.1019990350198331,0.019827189296123926,1.0435539835515637,0.8175677606879196
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,inflammation,18,-0.5190831146670583,0.3821883123739316,-1.268158442232108,0.22999221289799154,0.1744044232461317,0.3430045895664394,0.26083274384273025,1.0298848765249997,0.41751401110998526
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,fibrosis,18,0.05326278354591346,0.3643054971891528,-0.6607628703147839,0.7672884374066109,0.8837606456026553,0.5229095964617207,0.0011529140982500241,2.323343875966578,0.8837606456026553
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,steatosis,18,0.04781042509992838,0.45798348298931457,-0.8498207070733407,0.9454415572731975,0.916857208329474,0.5229095964617207,0.0011091148239419368,1.9712886126230542,0.916857208329474
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,ballooning,18,0.43843500256444884,0.3594049611837359,-0.26598577722068956,1.1428557823495873,0.2225060661245316,0.5229095964617207,0.07064655533134645,2.5762855040656354,0.4450121322490632
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,inflammation,18,-0.7645611058784327,0.4537407890251777,-1.653876710684568,0.12475449892770263,0.09198522244677504,0.5229095964617207,0.3544175077878501,1.6151618824214482,0.5519113346806502
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,fibrosis,18,0.13455348252824806,0.1533370761176481,-0.1659816641570191,0.4350886292135152,0.3802144169555437,0.09827347291214272,0.016043194780265724,1.1214426373292743,0.9026320876808298
