dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_5,6,4,10000,0.9993,1.7895580849034451,0.681938704543507,4.357976094295905,3.0,2.0,4.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,6,4,10000,1.0,3.2144389256145756,1.7831543079878267,10.165229377886979,1.0,1.0,2.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_7_SAENDO2,6,4,10000,0.8349,0.5599867509038499,-0.5479964802142554,2.4094082020860443,4.0,3.0,6.0,0.789
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_A_SAM,6,4,10000,0.997,1.3949594338748061,0.4901817748491732,3.1646877495000423,1.0,1.0,2.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_B_SAM,6,4,10000,0.0885,-0.6621377206363281,-2.3936363008088426,0.33622958315061374,5.0,3.0,6.0,0.9398
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_C_KC,6,4,10000,0.0066,-1.2995726077873577,-2.82214319921975,-0.3023017356762895,6.0,5.0,6.0,0.0913
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_D_TMO,6,4,10000,0.1551,-0.5906716471973756,-2.132663706243754,0.5616124325824048,4.0,4.0,6.0,0.9689
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_E_TMO,6,4,10000,0.6294,0.18258565136915436,-0.8834778542121452,2.303535624395827,3.0,1.0,4.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,singscore,RAM2019_MAC_SIG_F_CDC1,6,4,10000,0.6884,0.2640496594601233,-1.0040617846290767,1.4494755283168215,2.0,2.0,3.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_A_SAM,6,4,10000,1.0,1.7580305738391295,0.9599382417613215,3.732403038206574,1.0,1.0,2.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_B_SAM,6,4,10000,0.5684,0.08658091071018102,-1.044494156037777,1.6039202960039383,4.0,2.0,5.0,0.9998
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_C_KC,6,4,10000,0.1157,-0.5886765003879433,-1.512834062770385,0.6908323739575631,5.0,3.0,6.0,0.7715
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_D_TMO,6,4,10000,0.0227,-1.0885648727367945,-5.175119856717924,-0.02518902356657469,6.0,5.0,6.0,0.2287
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_E_TMO,6,4,10000,0.6762,0.23991390010129882,-0.7622584511705254,2.0915044320738096,3.0,2.0,4.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_F_CDC1,6,4,10000,0.8683,0.5739105192463544,-0.4590955370458692,2.255022541310625,2.0,1.0,4.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,6,4,10000,0.8694,0.5116138132460306,-1.3373876236832851,1.3303274896807686,5.0,2.0,6.0,0.5874
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,6,4,10000,0.7808,0.41368293002960643,-0.8690570458520518,1.5208904455910062,5.0,4.0,6.0,0.5166
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,6,4,10000,0.9274,0.7694943445617786,-0.3108533936974981,2.1381278865461084,4.0,2.0,5.0,0.9987
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,6,4,10000,0.9323,0.7595146542121123,-0.23886889139514955,2.313391762136566,4.0,1.0,6.0,0.8973
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,6,4,10000,0.9974,1.4634399746628364,0.45265101575002603,3.2070634731761314,1.0,1.0,3.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,6,4,10000,0.988,1.1230914926533648,0.14372638948925504,3.9646217048066874,2.0,1.0,4.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,6,4,10000,0.5986,0.12066497337133439,-1.9354962321076654,1.1092802579938699,5.0,2.0,6.0,0.5554
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,6,4,10000,0.5301,0.038878206217830336,-1.5776042014267733,1.0815348913255858,6.0,4.0,6.0,0.4776
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,6,4,10000,0.9227,0.7821864567216137,-0.37913822421520893,2.3292487138511544,3.0,2.0,5.0,0.9999
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,6,4,10000,0.9246,0.7428047542075171,-0.26899511068787696,2.8634382974066823,3.0,1.0,6.0,0.9712
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,6,4,10000,0.991,1.4520270155473403,0.34615659175192814,3.469814030987282,1.0,1.0,4.0,0.9969
GSE256398_human,mash_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,6,4,10000,0.9165,0.6863392123959634,-0.3208211480239683,3.220438449412611,3.0,1.0,5.0,0.999
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_1,6,4,10000,0.0,-2.100442740641464,-5.139282068575629,-1.244340125612668,7.0,6.0,7.0,0.0153
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_2,6,4,10000,1.0,2.518350027896325,1.4904064931454635,4.682779642758639,1.0,1.0,2.0,1.0
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_3,6,4,10000,0.3223,-0.29681734431574164,-3.4045572461060707,1.9202611214369905,4.0,3.0,7.0,0.9389
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_4,6,4,10000,0.0208,-1.125108788397007,-2.7538015339722732,-0.05420323610032117,6.0,5.0,6.0,0.4489
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_5,6,4,10000,0.5955,0.14616200863992584,-1.573647442366442,2.156032697947971,3.0,3.0,5.0,0.9835
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,6,4,10000,0.998,1.7036279032331612,0.5738286902278732,4.677819715695661,2.0,1.0,2.0,1.0
GSE256398_human,alcohol_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_7_SAENDO2,6,4,10000,0.0863,-0.8289174077949599,-2.259434055733174,0.5936880620271158,5.0,3.0,7.0,0.6134
