dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,standardized_mean,post_lock_external,30,primary,0.806060606060606,positive_case_higher,6,4,0.12311237879673105,-0.12265399426074924,-0.24576637305748028,0.2111782594285055,-1.163786337299009,-1.0511618530442661,0.7080825502087899,-2.4390036514534943,0.33667994536496204,0.696940093729463,-2.4171644367540135,0.31484073066548124,0.11904761904761904,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,singscore,post_lock_external,30,primary,0.9442379182156134,positive_case_higher,6,4,0.6212272281891799,0.6006460800304328,-0.02058114815874701,0.06699757765902607,-0.30719242214235887,-0.2774641232253564,0.6257901174340886,-1.5040127533961702,0.9490845069454573,0.6492136111454324,-1.5499228010704038,0.9949945546196911,0.6428571428571429,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,standardized_mean,post_lock_external,30,primary,0.9442379182156134,positive_case_higher,6,4,-0.028585827993287207,0.0018091343213009169,0.030394962314588124,0.413391088121282,0.07352592542021795,0.0664105132827775,0.5408790203941268,-0.9937123666897112,1.1265333932552661,0.6457107045216316,-1.1991824675796203,1.3320034941451753,0.9047619047619048,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,singscore,post_lock_external,30,primary,0.9384615384615383,positive_case_higher,6,4,0.4990249274341087,0.4637277274731161,-0.03529719996099262,0.06479732861266137,-0.5447323325933465,-0.49201630040689365,0.6741313092460065,-1.8133136665290663,0.8292810657152792,0.6571123717891005,-1.7799565491135305,0.7959239482997433,0.4095238095238095,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,standardized_mean,post_lock_external,30,primary,0.9384615384615383,positive_case_higher,6,4,-0.03097487889612625,-0.018548881455095853,0.012425997441030397,0.2508964055743778,0.049526406775671133,0.044733528700606186,0.6768150242254852,-1.281823918781345,1.3712909761825571,0.6455940943840349,-1.2206308962921024,1.3100979536933146,0.9380952380952381,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,primary,0.8,positive_case_higher,6,4,0.41366892550391193,0.48361716807388583,0.0699482425699739,0.16674305033585415,0.41949719900819865,0.37890069587837294,0.6679242468386908,-0.930230827925461,1.6880322196822068,0.6524105496159887,-0.8998239813689648,1.6576253731257107,0.5095238095238095,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,primary,0.8,positive_case_higher,6,4,-0.12399168570619261,-0.05776270359898576,0.06622898210720685,0.6118824729123068,0.10823807681887726,0.09776342422350204,0.7084179749194601,-1.2907358066186396,1.486262655065644,0.6459597681832907,-1.1683177214157476,1.363844569862752,0.8380952380952381,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,primary,0.9594594594594594,positive_case_higher,6,4,0.42861689989433654,0.3380330682551888,-0.09058383163914774,0.0933883659548428,-0.9699691253078443,-0.8761011454393433,0.6686320365281596,-2.186619937034536,0.43441764615584955,0.6816441467009563,-2.2121236729732177,0.45992138209453115,0.17142857142857143,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,standardized_mean,post_lock_external,30,primary,0.9594594594594594,positive_case_higher,6,4,0.046687810053092194,-0.23541299042135105,-0.28210080047444325,0.3311021181364367,-0.8520054237714011,-0.769553285987072,0.5721542143883318,-1.8909755461882023,0.3518689742140584,0.6735576685889713,-2.089726316421456,0.5506197444473118,0.23809523809523808,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,post_lock_external,30,primary,0.9857142857142858,positive_case_higher,6,4,0.6757749003986703,0.6340093312776462,-0.041765569121024027,0.06269347745703907,-0.6661868317903411,-0.6017171383912758,0.6150218295007458,-1.8071599242127376,0.603725647430186,0.6627938113254214,-1.9007930085891016,0.69735873180655,0.3047619047619048,exact_210_allocations
