lineage,pathway_name,direction,significant_contexts,contexts,median_nes,minimum_absolute_nes
mesenchymal_hsc_myofibroblast,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),positive,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,1.7306046844944136,1.7306046844944136
mesenchymal_hsc_myofibroblast,RND3 GTPase cycle,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7302603273104806,1.7302603273104806
mesenchymal_hsc_myofibroblast,ADP signalling through P2Y purinoceptor 1,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7297175381653442,1.7297175381653442
mesenchymal_hsc_myofibroblast,Regulation of MITF-M-dependent genes involved in apoptosis,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.72541174008533,1.72541174008533
endothelial,Transport of the SLBP independent Mature mRNA,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.724434355991327,1.724434355991327
mesenchymal_hsc_myofibroblast,Regulation of signaling by CBL,positive,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,1.722481722168659,1.722481722168659
endothelial,Rev-mediated nuclear export of HIV RNA,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7221265716234042,1.7221265716234042
endothelial,Nuclear Envelope Breakdown,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7218096661522544,1.7218096661522544
endothelial,MHC class II antigen presentation,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.72142175670715,1.72142175670715
mesenchymal_hsc_myofibroblast,Positive epigenetic regulation of rRNA expression,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7199468746521318,1.7199468746521318
macrophage_monocyte,SCF-beta-TrCP mediated degradation of Emi1,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7188361436340498,1.7188361436340498
mesenchymal_hsc_myofibroblast,MAP3K8 (TPL2)-dependent MAPK1/3 activation,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7169941669018052,1.7169941669018052
mesenchymal_hsc_myofibroblast,"Antigen processing: Ub, ATP-independent proteasomal degradation",positive,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,1.7162850761005726,1.7162850761005726
macrophage_monocyte,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",negative,1,GSE256398_human::mash_cirrhosis_vs_healthy,-1.7158163984853076,1.7158163984853076
endothelial,Assembly of the pre-replicative complex,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7149691881352307,1.7149691881352307
mesenchymal_hsc_myofibroblast,Transferrin endocytosis and recycling,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7147010190528458,1.7147010190528458
mesenchymal_hsc_myofibroblast,Signaling by FGFR in disease,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7131276192124232,1.7131276192124232
mesenchymal_hsc_myofibroblast,Synthesis of PIPs at the plasma membrane,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7131052778524132,1.7131052778524132
endothelial,Switching of origins to a post-replicative state,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7130047595480824,1.7130047595480824
mesenchymal_hsc_myofibroblast,ADP signalling through P2Y purinoceptor 12,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7128437789868005,1.7128437789868005
mesenchymal_hsc_myofibroblast,Visual phototransduction,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7118478962716779,1.7118478962716779
endothelial,Hedgehog ligand biogenesis,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7104275651652991,1.7104275651652991
endothelial,Metabolism of vitamins and cofactors,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7101516510186618,1.7101516510186618
macrophage_monocyte,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7101118664295776,1.7101118664295776
macrophage_monocyte,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7101118664295776,1.7101118664295776
mesenchymal_hsc_myofibroblast,Translation,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7093736267427597,1.7093736267427597
mesenchymal_hsc_myofibroblast,Leishmania infection,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7088011250859438,1.7088011250859438
mesenchymal_hsc_myofibroblast,Parasitic Infection Pathways,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7088011250859438,1.7088011250859438
macrophage_monocyte,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7080071055597525,1.7080071055597525
endothelial,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.706252837838156,1.706252837838156
macrophage_monocyte,Glutathione conjugation,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.706095941409192,1.706095941409192
mesenchymal_hsc_myofibroblast,Aquaporin-mediated transport,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7056462614923935,1.7056462614923935
mesenchymal_hsc_myofibroblast,Iron uptake and transport,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7053884513668855,1.7053884513668855
macrophage_monocyte,CDK-mediated phosphorylation and removal of Cdc6,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7053267488137018,1.7053267488137018
mesenchymal_hsc_myofibroblast,Developmental Lineage of Pancreatic Ductal Cells,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7051692108295637,1.7051692108295637
endothelial,Degradation of DVL,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7049178806678502,1.7049178806678502
mesenchymal_hsc_myofibroblast,Crosslinking of collagen fibrils,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7049024965991575,1.7049024965991575
mesenchymal_hsc_myofibroblast,NPAS4 regulates expression of target genes,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7045450641098634,1.7045450641098634
mesenchymal_hsc_myofibroblast,RHO GTPases activate PKNs,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7041138531474027,1.7041138531474027
macrophage_monocyte,Regulation of Apoptosis,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.702749438231995,1.702749438231995
